player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ardian Ismajli,al ALB,DF,Spezia,23,1996,17.0,14.0,1297.0,1.0,1.0,0.0,0.0,3.0,1.0,0.07,0.07,0.14,0.07,0.14,0.5,0.5,0.0,0.03,0.0,0.03,0.03,0.03,14.4,6.0,1.0,0.0,16.7,0.42,0.07,0.17,1.0,0.08,0.5,0.5,633.0,709.0,89.3,15084.0,3316.0,107.0,120.0,89.2,382.0,401.0,95.3,141.0,181.0,77.9,1.0,0.0,31.0,1.0,1.0,31.0,681.0,28.0,26.0,0.0,78.0,20.0,1.0,0.0,0.0,0.0,0.0,541.0,61.0,107.0,78.0,576.0,36.0,2.0,3.0,1.0,7.0,8.0,4.0,8.0,0.56,5.0,0.0,0.0,3.0,0.0,3.0,0.21,1.0,0.0,0.0,2.0,0.0,0.0,19.0,12.0,12.0,6.0,1.0,8.0,17.0,47.1,9.0,134.0,47.0,35.1,69.0,62.0,3.0,12.0,6.0,0.0,6.0,24.0,92.0,2.0,856.0,81.0,462.0,450.0,12.0,5.0,830.0,0.0,0.0,0.0,0.0,0.0,498.0,3283.0,1803.0,43.0,4.0,0.0,557.0,548.0,98.4,1.0,2.0,1.0,19.0,13.0,0.0,0.0,0.0,0.0,125.0,48.0,29.0,62.3
Armando Izzo,it ITA,DF,Torino,28,1992,25.0,24.0,2004.0,2.0,0.0,0.0,0.0,3.0,0.0,0.09,0.0,0.09,0.09,0.09,1.4,1.4,0.4,0.06,0.02,0.08,0.06,0.08,22.3,15.0,3.0,0.0,20.0,0.67,0.13,0.13,0.67,0.09,0.6,0.6,965.0,1167.0,82.7,19688.0,6464.0,372.0,397.0,93.7,417.0,472.0,88.3,169.0,282.0,59.9,-0.4,6.0,76.0,7.0,3.0,75.0,1086.0,81.0,64.0,0.0,128.0,50.0,13.0,0.0,0.0,0.0,0.0,736.0,123.0,308.0,299.0,764.0,57.0,17.0,5.0,3.0,24.0,14.0,6.0,25.0,1.12,19.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,24.0,18.0,13.0,2.0,12.0,36.0,33.3,24.0,250.0,78.0,31.2,115.0,109.0,26.0,32.0,12.0,0.0,20.0,53.0,111.0,0.0,1413.0,115.0,612.0,738.0,162.0,35.0,1350.0,7.0,13.0,53.8,7.0,0.0,894.0,5245.0,2707.0,73.0,20.0,0.0,931.0,901.0,96.8,11.0,7.0,0.0,42.0,37.0,2.0,0.0,1.0,0.0,195.0,69.0,37.0,65.1
Mato Jajalo,ba BIH,MF,Udinese,32,1988,1.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,29.0,79.3,321.0,77.0,14.0,15.0,93.3,8.0,10.0,80.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,4.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,36.0,2.0,12.0,21.0,3.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,19.0,83.0,36.0,1.0,0.0,0.0,23.0,23.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Jakub Jankto,cz CZE,MF,Sampdoria,24,1996,35.0,29.0,2409.0,6.0,3.0,0.0,0.0,6.0,0.0,0.22,0.11,0.34,0.22,0.34,5.1,5.1,3.1,0.19,0.12,0.31,0.19,0.31,26.8,40.0,11.0,0.0,27.5,1.49,0.41,0.15,0.55,0.13,0.9,0.9,632.0,914.0,69.1,11149.0,3077.0,291.0,353.0,82.4,247.0,337.0,73.3,77.0,167.0,46.1,-0.1,31.0,46.0,24.0,8.0,64.0,863.0,51.0,15.0,3.0,135.0,20.0,55.0,14.0,4.0,6.0,2.0,580.0,138.0,196.0,731.0,120.0,37.0,22.0,0.0,9.0,21.0,22.0,35.0,51.0,1.91,31.0,9.0,2.0,5.0,4.0,5.0,0.19,4.0,0.0,1.0,0.0,0.0,0.0,22.0,10.0,12.0,8.0,2.0,9.0,36.0,25.0,27.0,378.0,84.0,22.2,97.0,162.0,119.0,42.0,3.0,0.0,39.0,19.0,30.0,0.0,1174.0,43.0,243.0,547.0,465.0,87.0,1128.0,11.0,27.0,40.7,11.0,2.0,783.0,4221.0,2273.0,98.0,37.0,18.0,1033.0,797.0,77.2,30.0,36.0,0.0,17.0,28.0,7.0,0.0,1.0,0.0,188.0,8.0,24.0,25.0
Juan Jesus,br BRA,DF,Roma,29,1991,5.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,130.0,92.3,2566.0,994.0,31.0,34.0,91.2,68.0,69.0,98.6,20.0,25.0,80.0,0.0,0.0,8.0,0.0,0.0,7.0,126.0,4.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,114.0,2.0,14.0,117.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,1.0,0.0,3.0,4.0,75.0,1.0,19.0,6.0,31.6,11.0,5.0,3.0,3.0,0.0,0.0,3.0,0.0,5.0,0.0,143.0,17.0,76.0,74.0,0.0,0.0,139.0,1.0,1.0,100.0,1.0,0.0,115.0,534.0,270.0,3.0,0.0,0.0,115.0,114.0,99.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,3.0,50.0
Hamed Junior Traorè,ci CIV,"FW,MF",Sassuolo,20,2000,35.0,20.0,1789.0,5.0,2.0,0.0,0.0,6.0,0.0,0.25,0.1,0.35,0.25,0.35,4.4,4.4,3.6,0.22,0.18,0.4,0.22,0.4,19.9,44.0,14.0,1.0,31.8,2.21,0.7,0.11,0.36,0.1,0.6,0.6,655.0,858.0,76.3,10634.0,2751.0,356.0,417.0,85.4,213.0,277.0,76.9,60.0,109.0,55.0,-1.6,33.0,53.0,21.0,0.0,66.0,790.0,68.0,13.0,3.0,154.0,32.0,26.0,47.0,18.0,12.0,8.0,685.0,74.0,99.0,127.0,701.0,15.0,4.0,2.0,7.0,12.0,40.0,30.0,69.0,3.47,46.0,11.0,5.0,2.0,3.0,5.0,0.25,3.0,0.0,0.0,1.0,1.0,0.0,37.0,24.0,14.0,12.0,11.0,14.0,32.0,43.8,18.0,344.0,104.0,30.2,78.0,151.0,115.0,20.0,4.0,1.0,16.0,18.0,14.0,1.0,1117.0,18.0,168.0,519.0,522.0,69.0,1048.0,45.0,69.0,65.2,49.0,8.0,829.0,4437.0,2390.0,118.0,40.0,10.0,1015.0,808.0,79.6,41.0,41.0,0.0,26.0,19.0,4.0,1.0,0.0,0.0,128.0,14.0,22.0,38.9
Musa Juwara,gm GAM,DF,Bologna,18,2001,5.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,0.5,1.0,1.0,0.0,100.0,1.96,1.96,0.0,0.0,0.02,0.0,0.0,22.0,32.0,68.8,412.0,154.0,9.0,10.0,90.0,11.0,16.0,68.8,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,4.0,28.0,4.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,10.0,6.0,26.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,3.0,66.7,1.0,7.0,1.0,14.3,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,8.0,19.0,22.0,3.0,40.0,2.0,3.0,66.7,2.0,0.0,35.0,292.0,182.0,7.0,2.0,1.0,34.0,31.0,91.2,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Nikola Kalinić,hr CRO,FW,Hellas Verona,32,1988,19.0,15.0,1063.0,2.0,0.0,0.0,0.0,2.0,0.0,0.17,0.0,0.17,0.17,0.17,4.0,4.0,0.3,0.34,0.03,0.36,0.34,0.36,11.8,23.0,7.0,0.0,30.4,1.95,0.59,0.09,0.29,0.18,-2.0,-2.0,162.0,231.0,70.1,2355.0,341.0,90.0,114.0,78.9,52.0,70.0,74.3,8.0,14.0,57.1,-0.3,7.0,7.0,5.0,0.0,14.0,203.0,28.0,0.0,0.0,78.0,3.0,2.0,0.0,0.0,0.0,0.0,146.0,54.0,31.0,19.0,190.0,3.0,0.0,9.0,0.0,7.0,7.0,21.0,15.0,1.27,12.0,0.0,0.0,2.0,1.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,133.0,38.0,28.6,7.0,34.0,92.0,4.0,0.0,0.0,4.0,1.0,6.0,0.0,355.0,6.0,16.0,180.0,179.0,56.0,327.0,6.0,11.0,54.5,7.0,1.0,243.0,825.0,286.0,18.0,8.0,3.0,648.0,272.0,42.0,32.0,15.0,0.0,27.0,34.0,10.0,0.0,0.0,0.0,31.0,18.0,58.0,23.7
Yayah Kallon,sl SLE,"FW,MF",Genoa,19,2001,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.28,0.08,0.36,0.28,0.36,0.5,2.0,1.0,0.0,50.0,4.0,2.0,0.0,0.0,0.07,-0.1,-0.1,7.0,9.0,77.8,100.0,37.0,4.0,5.0,80.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,7.0,10.0,4.0,16.0,1.0,4.0,25.0,1.0,0.0,14.0,58.0,25.0,2.0,0.0,2.0,18.0,12.0,66.7,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,50.0
Pierre Kalulu,fr FRA,DF,Milan,20,2000,13.0,7.0,727.0,1.0,1.0,0.0,0.0,1.0,0.0,0.12,0.12,0.25,0.12,0.25,0.6,0.6,0.4,0.08,0.05,0.13,0.08,0.13,8.1,3.0,1.0,0.0,33.3,0.37,0.12,0.33,1.0,0.2,0.4,0.4,427.0,499.0,85.6,7973.0,2656.0,165.0,179.0,92.2,221.0,245.0,90.2,33.0,61.0,54.1,0.6,3.0,25.0,4.0,0.0,29.0,459.0,40.0,8.0,0.0,33.0,3.0,12.0,0.0,0.0,0.0,0.0,385.0,45.0,69.0,53.0,391.0,19.0,26.0,4.0,2.0,6.0,3.0,7.0,8.0,0.99,7.0,0.0,0.0,1.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,11.0,7.0,3.0,5.0,9.0,55.6,4.0,127.0,39.0,30.7,61.0,50.0,16.0,14.0,4.0,0.0,10.0,15.0,25.0,0.0,576.0,66.0,272.0,270.0,76.0,7.0,538.0,3.0,3.0,100.0,3.0,0.0,343.0,2361.0,1264.0,46.0,15.0,2.0,389.0,373.0,95.9,2.0,3.0,0.0,9.0,2.0,0.0,0.0,1.0,0.0,79.0,10.0,18.0,35.7
